,0
0,b'start\r\n'
1,b'loop 32\r\n'
2,b'loop 31\r\n'
3,b'loop 31\r\n'
4,b'loop 31\r\n'
5,b'loop 31\r\n'
6,b'loop 31\r\n'
7,b'loop 31\r\n'
8,b'loop 31\r\n'
9,b'loop 31\r\n'
10,b'loop 31\r\n'
11,b'loop 31\r\n'
12,b'loop 31\r\n'
13,b'loop 31\r\n'
14,b'loop 31\r\n'
15,b'loop 31\r\n'
16,b'loop 31\r\n'
17,b'loop 31\r\n'
18,b'loop 31\r\n'
19,b'loop 31\r\n'
20,b'loop 31\r\n'
21,b'loop 31\r\n'
22,b'loop 31\r\n'
23,b'loop 31\r\n'
24,b'loop 31\r\n'
25,b'loop 31\r\n'
26,b'loop 31\r\n'
27,b'loop 31\r\n'
28,b'loop 31\r\n'
29,b'loop 31\r\n'
30,b'loop 31\r\n'
31,b'loop 31\r\n'
32,b'loop 31\r\n'
33,b'loop 31\r\n'
34,b'loop 31\r\n'
35,b'loop 31\r\n'
36,b'loop 31\r\n'
37,b'loop 31\r\n'
38,b'loop 31\r\n'
39,b'loop 31\r\n'
40,b'loop 31\r\n'
41,b'loop 31\r\n'
42,b'loop 31\r\n'
43,b'loop 31\r\n'
44,b'loop 31\r\n'
45,b'loop 31\r\n'
46,b'loop 31\r\n'
47,b'loop 31\r\n'
48,b'loop 31\r\n'
49,b'loop 31\r\n'
50,b'loop 31\r\n'
51,b'loop 31\r\n'
52,b'loop 31\r\n'
53,b'loop 31\r\n'
54,b'loop 31\r\n'
55,b'loop 31\r\n'
56,b'loop 31\r\n'
57,b'loop 31\r\n'
58,b'loop 31\r\n'
59,b'loop 31\r\n'
60,b'loop 31\r\n'
61,b'loop 31\r\n'
62,b'loop 31\r\n'
63,b'loop 31\r\n'
64,b'loop 31\r\n'
65,b'loop 31\r\n'
66,b'loop 31\r\n'
67,b'loop 31\r\n'
68,b'loop 31\r\n'
69,b'loop 31\r\n'
70,b'loop 31\r\n'
71,b'loop 31\r\n'
72,b'loop 31\r\n'
73,b'loop 31\r\n'
74,b'loop 31\r\n'
75,b'loop 31\r\n'
76,b'loop 31\r\n'
77,b'loop 31\r\n'
78,b'loop 31\r\n'
79,b'loop 31\r\n'
80,b'loop 31\r\n'
81,b'loop 31\r\n'
82,b'loop 31\r\n'
83,b'loop 31\r\n'
84,b'loop 31\r\n'
85,b'loop 31\r\n'
86,b'loop 31\r\n'
87,b'loop 31\r\n'
88,b'loop 31\r\n'
89,b'loop 31\r\n'
90,b'loop 31\r\n'
91,b'loop 31\r\n'
92,b'loop 31\r\n'
93,b'loop 31\r\n'
94,b'loop 31\r\n'
95,b'loop 31\r\n'
96,b'loop 31\r\n'
97,b'loop 31\r\n'
98,b'loop 31\r\n'
99,b'loop 31\r\n'
100,b'loop 31\r\n'
101,b'loop 31\r\n'
102,b'loop 31\r\n'
103,b'lever_on 01:44:777\r\n'
104,b'lever_off 01:45:339\r\n'
105,b'loop 31\r\n'
106,b'lever_on 01:46:297\r\n'
107,b'loop 31\r\n'
108,b'lever_off 01:47:321\r\n'
109,b'loop 31\r\n'
110,b'lever_on 01:47:816\r\n'
111,b'lever_off 01:47:949\r\n'
112,b'loop 31\r\n'
113,b'lever_on 01:49:039\r\n'
114,b'lever_off 01:49:270\r\n'
115,b'loop 31\r\n'
116,b'lever_on 01:49:930\r\n'
117,b'lever_off 01:50:129\r\n'
118,b'lever_on 01:50:525\r\n'
119,b'loop 31\r\n'
120,b'lever_off 01:50:855\r\n'
121,b'lever_on 01:51:186\r\n'
122,b'loop 31\r\n'
123,b'lever_off 01:51:714\r\n'
124,b'loop 31\r\n'
125,b'loop 31\r\n'
126,b'loop 31\r\n'
127,b'loop 31\r\n'
128,b'loop 31\r\n'
129,b'loop 31\r\n'
130,b'loop 31\r\n'
131,b'loop 31\r\n'
132,b'loop 31\r\n'
133,b'loop 31\r\n'
134,b'loop 31\r\n'
135,b'loop 31\r\n'
136,b'loop 31\r\n'
137,b'loop 31\r\n'
138,b'loop 31\r\n'
139,b'loop 31\r\n'
140,b'loop 31\r\n'
141,b'loop 31\r\n'
142,b'loop 31\r\n'
143,b'loop 31\r\n'
144,b'loop 31\r\n'
145,b'loop 31\r\n'
146,b'loop 31\r\n'
147,b'loop 31\r\n'
148,b'loop 31\r\n'
149,b'loop 31\r\n'
150,b'loop 31\r\n'
151,b'loop 31\r\n'
152,b'loop 31\r\n'
153,b'loop 31\r\n'
154,b'loop 31\r\n'
155,b'loop 31\r\n'
156,b'loop 31\r\n'
157,b'loop 31\r\n'
158,b'loop 31\r\n'
159,b'loop 31\r\n'
160,b'loop 31\r\n'
161,b'loop 31\r\n'
162,b'loop 31\r\n'
163,b'loop 31\r\n'
164,b'loop 31\r\n'
165,b'loop 31\r\n'
166,b'loop 31\r\n'
167,b'loop 31\r\n'
168,b'loop 31\r\n'
169,b'loop 31\r\n'
170,b'loop 31\r\n'
171,b'loop 31\r\n'
172,b'loop 31\r\n'
173,b'loop 31\r\n'
174,b'loop 31\r\n'
175,b'loop 31\r\n'
176,b'loop 31\r\n'
177,b'loop 31\r\n'
178,b'loop 31\r\n'
179,b'loop 31\r\n'
180,b'loop 31\r\n'
181,b'loop 31\r\n'
182,b'loop 31\r\n'
183,b'loop 31\r\n'
184,b'loop 31\r\n'
185,b'loop 31\r\n'
186,b'loop 31\r\n'
187,b'loop 31\r\n'
188,b'loop 31\r\n'
189,b'lever_on 02:59:166\r\n'
190,b'loop 31\r\n'
191,b'loop 31\r\n'
192,b'lever_off 03:00:917\r\n'
193,b'loop 31\r\n'
194,b'loop 31\r\n'
195,b'loop 31\r\n'
196,b'loop 31\r\n'
197,b'loop 31\r\n'
198,b'loop 31\r\n'
199,b'end\r\n'
